title,price,detail,ISBN,review
  CHAKRA ENERGY AND MINDFULNESS FOR SELF-HEALING: : A Transformative Guide to Balancing the 7 Chakras Using Simple Effective Techniques to Boost your Energy Mindfully for Well-Being and a Joyful Life ,    $0.00   ,"A first of its kind, this powerful book helps you link mindfulness and the healing power of a balanced internal energy system or what is called the ‘chakras’ for well-being and a transformed, happier life.",,"[('M. Kadouh', 'Really appreciated the holistic view of energy and the simple way this book brings it all together, particularly the practices')]"
  Beautiful dragon drawing book , $15.00 ,Ships from,979-8794556834,
  50 Original and Fabulous patterns: Creative Haven Winter Snowflakes Designs to Color /mandalas stress relief toys for adults/mandala Kaleidoscope colouring books for adults 2020 , $5.99 ,Ships from,979-8678509048,"[('Patricia ', 'As figuras não condizem com o anúncio, folha muito fina, impressão dos desenhos ruim, borrada e fraca... Resumindo péssimo.')]"
  Now That's True Happiness! , $9.99 ,"2BU speaks for itself, my writing comes from the heart. It’s what each and every one of us thinks, knows, and feels. I want you to find your purpose in life, and work very hard on fulfilling your goals and dreams. True happiness is living and being who you are every day. Making your own choices in life, without worrying who’s judging, or you feeling obligated to do anything you don’t want to. Keep your thoughts positive, put yourself where you want to be, and don’t settle for anything less.",,"[('Jeanette S.', 'I met Rosemarie about 20 years ago and knew from the first moment I met her that she was someone special….she has proved that to be true a thousand times over.  She writes from the heart and helps you identify how you can be the best version of yourself..'), ('M.S.', 'It is a very easy read and I highly recommend it…you will be better for having read it.'), ('vera lugo', ""Guiliano combines heartfelt encouragement with honest, upbeat language to create a deeply inspiring book. With her energy and her clear down-to-earth ideas, she encourages readers the way a friend would, without the pedantic tone of so many self-help books. I highly recommend this: it's both an accessible pep talk and a moving, meaningful work that nurtures the greatness we all have inside."")]"
  Christmas Drawing Book , $15.00 ,Ships from,979-8796707067,
  The Birth of Christ Story Coloring Book-A Gravette Giant ,Currently unavailable.,Giant coloring book with the story of the birth of Christ. Book measures 22 inches by 17 inches. Large images for coloring.,,
  Journal ,Out of Print--Limited Availability.,A lined journal.,,
  English Class-IX based on NCERT (Latest) , $2.00 ,A Book Contents: 1. The Fun They Had 2. The Sound of Music 3. The Little Girls 4. A Truly Beautiful Mind 5. The Snake and the Mirror 6. My Childhood 7. Packing 8. Reach for the Top 9. The Bond of Love 10. Kathmandu 11. If I Were You 12. The Road Not taken 13. Wind 14. Rain of the Roof 15. The Lake Isle of Innisfree 16. A Legend of the Northland 17. No Men Are Foreign 18. The Duck and the Kangaroo 19. On Killing a tree 20. The Snake Trying 20. A Slumber DID my Spirit Seal 21. The Lost Child 22. The Adventures of TOTO 23. Iswaran the Storyteller 24. In the Kingdom fools 25. The Happy Price 26. Weathering the Storm in Erasma 27. The last Leaf 28. A House is Not a Home 29. The Accidental Tourist 30. The Beggar,,
  A Television Book of Little Red Riding Hood , $8.92 ,"Kenosha, Wisconsin: John Martin's House, 1949. Hardbound, about 8 inches tall by 6.5 inches wide, about 24 pages (unpaginated).",,
"  5 (Grant County) book--A Faint Cold Fear, Indelible, Beyond Reach, Fractured, Faithless ",Currently unavailable.,,,
  Jeremy and his friends-The Award winning book-A comedy-drama for the stage ,Currently unavailable.,This book is the play adaptation for the award winning social distancing book-Jeremy and his friends.,978-1739621797,
  Kidnapper's Love , $4.36 ,"“You thought I wouldn’t find out? You are mine Sasha. If I can’t have you, no one can.” Sasha while returning home alone one night is nearly abducted by a masked man who claims to know her. Now she must figure out who he is, and stop him before he comes back and makes her his bride. (if you have a moment. Would you also leave a review on either goodreads or amazon that would be amazing, if not that's ok to. Enjoy the story.",,
  Wood Pellet Grill & Smoker Cookbook: 600 Tasty And Juicy Recipes For Advanced And Beginner Pitmasters To Become “The-Real-Deal” BBQ Chefs And Take Smoking Meat To Another Level ,Out of Print--Limited Availability.,"Let’s face the fact, ",979-8450030784,"[('Amazon Customer', 'This book explains what a wood pellet smoker is and how to set it up. There are over 500 recipes that beginners all the way to advanced trillers can follow.'), ('Amy Melton', 'Great grill with so much to offer'), ('E. Williams', 'This book is great for anyone who is a pellet smoker and grill.  There is 600 recipes that range from beginner to a more advanced smoker.  This book will take you from a newbie to a seasoned pro.  It talks about the different types of wood and what types of meat to pair them with.')]"
  Aabu , $2.00 ,"A man waiting for his life to finally come to an end hears a countdown. 10, 9, 8, 7... as the numbers near their end, the man is filled with a sense of anxiousness and regret. As the countdown reaches 1, the man's false end becomes apparent. He is then forced to think back and reflect on his life.",,"[('K P.', 'Excellent....👍🌹')]"
  Music Distribution Guide ,    $0.00   ,This Book is a Music Recording & Distribution Guide,,
  The Everyday Story Book-a Group of Present Day Stories ,Currently unavailable.,As described.,,
  The Favorite Nursery Rhyme Book-a Fun-Time 3-D Book ,Currently unavailable.,Board book of nursery rhymes,,
  Trees - the Photographic Guide to itentify native and common trees ,Currently unavailable.,8vo. A good copy with slight yellowing to white illus board covers and dent to back cover tail. pos on ffep.,,
  KING ARTHUR , $14.99 ,"In a prequel to Knights of the Round Table, a vastly outnumbered Arthur and his knights are sent by the Roman Empire to defeat a bloodthirsty Saxon conqueror and his powerful army, a mission that takes a romantic turn when Arthur, Lancelot, and the knights rescue the beautiful Guinevere. Original. (A Touchstone Pictures film, releasing Summer 2004, produced by Jerry Bruckheimer, starring Clive Owen, Keira Knightley, Stephen Dillane, & Ioan Gruffudd) (Historical Fiction)",978-0786890835,"[('Natalie', ""The movie is one of my favorites so I had to read the book. It was not disappointing! There were a few things different in the book, but that's what makes it good. I really enjoyed reading this book.""), ('K. E. Bucher', ""All right, I may be one of the few people that fell in love with this movie, but I liked it a lot, despite the fact that it wasn't historically accurate. I was very excited to read the book, but was sorely disappointed. I know a movie's novelization isn't supposed to be exactly like the movie persay, but this was very poorly written. I will give him props for developing Lancelot's character, but that was it. The author took Dagonet, for example, (who was my favorite character from the film) and changed him from a quiet, brave warrior into this dumb, brute-like brainless idiot. The book had a few spots where the dialogue was sweet in its way, mostly in the parts dealing with Lucan, but all in all this novelization wasn't worth reading, in my opinion.""), ('Blue Roman', 'Contrary to what some other people say, this book is pretty faithful to the film. In fact, book tie-ins are part of the reason i see films. This way i can compare it the book and see what is missing. My only complaint is that it cannot be downloaded on my kindle. Hopefully, one day, someone will have the good sense do that. On the other hand, they already have it on Audible, which is just as good as a Kindle or paperback.')]"
